id,end_station,dest_y,dest_x,count
340,Greenwich St & North Moore St,40.72015227,-74.01036501,47
341,Greenwich St & W Houston St,40.728846,-74.008591,106
342,Greenwich St & Warren St,40.71542197,-74.01121978,49
343,Halsey St & Tompkins Ave,40.6823687,-73.944118,11
344,Hancock St & Bedford Ave,40.68216564,-73.95399026,17
345,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,50
346,Hanson Pl & St Felix St,40.6851596,-73.97711366,9
347,Harrison St & Hudson St,40.71870987,-74.0090009,28
348,Henry St & Atlantic Ave,40.69089272,-73.99612349,52
349,Henry St & Bay St,40.6725058,-74.00494695,0
350,Henry St & Degraw St,40.6847514,-73.99917254,7
351,Henry St & Grand St,40.714215,-73.981346,59
352,Henry St & Poplar St,40.700469,-73.991454,13
353,Henry St & W 9 St,40.6763744,-74.00324957,3
354,Hicks St & Montague St,40.69512845,-73.99595065,15
355,Hope St & Union Ave,40.71167351,-73.95141312,87
356,Howard St & Centre St,40.71910537,-73.99973337,127
357,Hoyt St & Warren St,40.6843549,-73.98901629,8
358,Hudson St & Reade St,40.71625008,-74.0091059,57
359,Humboldt St & Varet St,40.7031724,-73.940636,32
360,Huron St & Franklin St,40.73266,-73.95826,37
361,India St & East River,40.73165141,-73.96161892,2
362,India St & Manhattan Ave,40.73232194,-73.9550858,40
363,Jackson Ave & 46 Rd,40.74524768,-73.94733276,33
364,Jay St & Tech Pl,40.695065,-73.987167,18
365,John St & William St,40.70862144,-74.00722156,36
366,Johnson St & Gold St,40.69474881,-73.98362464,38
367,Kane St & Clinton St,40.6861758,-73.99645295,9
368,Kent Ave & N 7 St,40.72036775,-73.96165073,124
369,Kent Ave & S 11 St,40.70764494,-73.96841526,33
370,Kingston Ave & Herkimer St,40.67890679,-73.94142771,8
371,Kiosk in a box Motivate,40.6466779,-74.01630342,2
372,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,12
373,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,6
374,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,261
375,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,22
376,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,28
377,Lafayette Ave & St James Pl,40.68851534,-73.9647628,40
378,Lafayette St & Jersey St,40.72430527,-73.99600983,92
379,Laight St & Hudson St,40.72185379,-74.00771779,14
380,Lawrence St & Willoughby St,40.69236178,-73.98631746,60
381,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,48
382,Leonard St & Bayard St,40.71928,-73.94861,13
383,Leonard St & Boerum St,40.70583339,-73.94644578,7
384,Leonard St & Church St,40.717571,-74.005549,78
385,Leonard St & Grand St,40.71103537,-73.94714303,42
386,Leonard St & Manhattan Ave,40.7215224,-73.94898266,12
