market,month,high,low
Northwest Brooklyn,9/1/15,5450000,240000
Northwest Brooklyn,10/1/15,9800000,235000
Northwest Brooklyn,11/1/15,4737862,375000
Northwest Brooklyn,12/1/15,3500000,250000
East Brooklyn,1/1/10,710000,130000
East Brooklyn,2/1/10,550000,60000
East Brooklyn,3/1/10,987500,168831
East Brooklyn,4/1/10,610000,123708
East Brooklyn,5/1/10,737000,121800
East Brooklyn,6/1/10,1240000,168300
East Brooklyn,7/1/10,696000,130000
East Brooklyn,8/1/10,840056,230000
East Brooklyn,9/1/10,560037,208884
East Brooklyn,10/1/10,710000,125000
East Brooklyn,11/1/10,609500,170000
East Brooklyn,12/1/10,560000,155000
East Brooklyn,1/1/11,721710,121680
East Brooklyn,2/1/11,842010,175000
East Brooklyn,3/1/11,1050000,186000
East Brooklyn,4/1/11,754000,75000
East Brooklyn,5/1/11,899000,186345
East Brooklyn,6/1/11,850000,187000
East Brooklyn,7/1/11,785000,187000
East Brooklyn,8/1/11,630000,166803
East Brooklyn,9/1/11,945000,105000
East Brooklyn,10/1/11,730000,189300
East Brooklyn,11/1/11,700000,200000
East Brooklyn,12/1/11,605000,162750
East Brooklyn,1/1/12,885000,80000
East Brooklyn,2/1/12,625000,140000
East Brooklyn,3/1/12,620000,162240
East Brooklyn,4/1/12,897500,175000
East Brooklyn,5/1/12,800000,180000
East Brooklyn,6/1/12,625000,206000
East Brooklyn,7/1/12,930000,160000
East Brooklyn,8/1/12,1080000,125000
East Brooklyn,9/1/12,630703,113000
East Brooklyn,10/1/12,880786,120000
East Brooklyn,11/1/12,920000,279000
East Brooklyn,12/1/12,885877,225000
East Brooklyn,1/1/13,1150000,120900
East Brooklyn,2/1/13,780000,225000
East Brooklyn,3/1/13,1375000,153126
East Brooklyn,4/1/13,952311,135038
East Brooklyn,5/1/13,1600000,183534
East Brooklyn,6/1/13,1080000,80000
East Brooklyn,7/1/13,900000,195000
East Brooklyn,8/1/13,989000,122592
East Brooklyn,9/1/13,960000,135000
East Brooklyn,10/1/13,983896,135039
East Brooklyn,11/1/13,1330000,249342
East Brooklyn,12/1/13,1250000,131826
East Brooklyn,1/1/14,1935693,165000
East Brooklyn,2/1/14,824782,238188
East Brooklyn,3/1/14,1250000,255000
East Brooklyn,4/1/14,1020000,265000
East Brooklyn,5/1/14,1350000,185000
East Brooklyn,6/1/14,2325000,165000
East Brooklyn,7/1/14,1850000,208681
East Brooklyn,8/1/14,1010000,90000
East Brooklyn,9/1/14,850550,135000
East Brooklyn,10/1/14,1435000,72000
East Brooklyn,11/1/14,1200000,310000
East Brooklyn,12/1/14,1830000,113000
East Brooklyn,1/1/15,1225000,223992
East Brooklyn,2/1/15,2050000,137559
East Brooklyn,3/1/15,2000000,349000
East Brooklyn,4/1/15,1625000,282906
East Brooklyn,5/1/15,1200000,240000
East Brooklyn,6/1/15,999999,299000
East Brooklyn,7/1/15,1835721,185000
East Brooklyn,8/1/15,1567000,282000
East Brooklyn,9/1/15,1257539,324480
East Brooklyn,10/1/15,1450000,215000
East Brooklyn,11/1/15,1580000,265000
East Brooklyn,12/1/15,1450000,360000
South Brooklyn,1/1/10,1731025,95000
South Brooklyn,2/1/10,1326000,104475
South Brooklyn,3/1/10,3750000,126000
South Brooklyn,4/1/10,1325000,85000
South Brooklyn,5/1/10,1200000,75000
South Brooklyn,6/1/10,1395000,64900
South Brooklyn,7/1/10,1240000,99000
South Brooklyn,8/1/10,1195000,73000
South Brooklyn,9/1/10,1100000,140000
South Brooklyn,10/1/10,1360000,90000
South Brooklyn,11/1/10,1425000,107000
South Brooklyn,12/1/10,2000000,100000
South Brooklyn,1/1/11,1530000,49500
South Brooklyn,2/1/11,1300000,103000
South Brooklyn,3/1/11,1515000,90000
South Brooklyn,4/1/11,999000,90000
South Brooklyn,5/1/11,802500,109000
South Brooklyn,6/1/11,1200000,93000
South Brooklyn,7/1/11,1518000,83655
South Brooklyn,8/1/11,1900000,115000
South Brooklyn,9/1/11,1731025,95000
South Brooklyn,10/1/11,1900000,85000
South Brooklyn,11/1/11,1450000,88000
South Brooklyn,12/1/11,2650000,75000
South Brooklyn,1/1/12,950500,89000
South Brooklyn,2/1/12,1500000,90000
South Brooklyn,3/1/12,2900000,40000
South Brooklyn,4/1/12,1275000,90000
South Brooklyn,5/1/12,1530000,45000
South Brooklyn,6/1/12,1575000,77000
South Brooklyn,7/1/12,1275000,75000
South Brooklyn,8/1/12,1800000,92000
South Brooklyn,9/1/12,1600000,82000
South Brooklyn,10/1/12,960000,83500
South Brooklyn,11/1/12,1400000,100000
South Brooklyn,12/1/12,2075000,85000
South Brooklyn,1/1/13,1049000,77000
South Brooklyn,2/1/13,1525000,45630
South Brooklyn,3/1/13,1720000,100000
South Brooklyn,4/1/13,1065000,105000
South Brooklyn,5/1/13,999000,83148
